marka,seri,model,yil,yakit tipi,vites tipi,motor hacmi,motor gucu,kilometre,boya-degisen,takasa uygun,kimden,fiyat
nissan,almera,1.5 tekna,2007,benzin,duz,1498 cc,98 hp,97.000 km,1 degisen,takasa uygun degil,galeriden,115.000 TL
nissan,pulsar,1.2 visia,2017,benzin,yari otomatik,1200 cm3' e kadar,101 - 125 hp,53.000 km,belirtilmemis,takasa uygun,galeriden,199.000 TL
nissan,micra,1.2 match,2016,benzin,yari otomatik,1200 cm3' e kadar,76 - 100 hp,68.000 km,belirtilmemis,takasa uygun,galeriden,183.000 TL
nissan,primera,1.6 special edition,1999,lpg & benzin,duz,1597 cc,100 hp,285.000 km,1 degisen,takasa uygun,galeriden,71.500 TL
nissan,micra,1.2 tekna,2005,lpg & benzin,duz,1240 cc,80 hp,170.500 km,tamami boyali,takasa uygun,galeriden,82.500 TL
nissan,micra,1.3 gx,1998,lpg & benzin,yari otomatik,1201 - 1400 cm3,51 - 75 hp,170.450 km,belirtilmemis,takasa uygun,galeriden,55.000 TL
nissan,micra,1.2 tekna,2008,benzin,otomatik,1240 cc,80 hp,65.000 km,belirtilmemis,takasa uygun degil,galeriden,118.000 TL
nissan,micra,1.2 tekna,2009,benzin,otomatik,1240 cc,80 hp,55.000 km,belirtilmemis,takasa uygun degil,galeriden,120.000 TL
nissan,micra,1.2 street,2017,benzin,otomatik,1198 cc,80 hp,40.000 km,belirtilmemis,takasa uygun degil,sahibinden,175.000 TL
nissan,micra,1.2 match,2017,benzin,otomatik,1198 cc,80 hp,39.000 km,tamami orjinal,takasa uygun degil,galeriden,186.000 TL
nissan,sunny,1.6 ex,1995,lpg & benzin,duz,1597 cc,102 hp,492 km,belirtilmemis,takasa uygun,sahibinden,39.000 TL
nissan,micra,1.5 dci mood,2007,dizel,duz,1461 cc,82 hp,206.000 km,3 boyali,takasa uygun degil,sahibinden,83.000 TL
nissan,primera,1.6 slx,1998,lpg & benzin,duz,1597 cc,100 hp,255.000 km,"2 degisen, 11 boyali",takasa uygun degil,sahibinden,55.500 TL
nissan,almera,1.5 luxury,2001,lpg & benzin,duz,1497 cc,90 hp,249.000 km,belirtilmemis,takasa uygun,galeriden,68.750 TL
nissan,micra,1.2 mood,2007,benzin,duz,1240 cc,80 hp,247.000 km,7 boyali,takasa uygun,sahibinden,83.000 TL
nissan,micra,1.2 match,2018,benzin,yari otomatik,1200 cm3' e kadar,76 - 100 hp,28.800 km,tamami orjinal,takasa uygun degil,sahibinden,201.500 TL
nissan,micra,1.2 passion,2008,benzin,otomatik,1240 cc,80 hp,138.000 km,belirtilmemis,takasa uygun degil,sahibinden,113.500 TL
nissan,micra,1.2 passion,2006,lpg & benzin,duz,1240 cc,80 hp,205.000 km,"2 degisen, 8 boyali",takasa uygun,galeriden,68.000 TL
nissan,micra,1.2 match,2018,benzin,otomatik,1198 cc,80 hp,64.081 km,tamami orjinal,takasa uygun,yetkili bayiden,199.900 TL
nissan,almera,1.5 tekna,2007,lpg & benzin,duz,1498 cc,98 hp,130.000 km,"2 degisen, 7 boyali",takasa uygun degil,sahibinden,85.500 TL
nissan,maxima,2.0 qx,1999,lpg & benzin,duz,1995 cc,140 hp,307.000 km,7 boyali,takasa uygun,sahibinden,66.500 TL
nissan,primera,1.6 tekna plus,2004,lpg & benzin,duz,1596 cc,109 hp,220.000 km,"1 degisen, 8 boyali",takasa uygun,sahibinden,79.500 TL
nissan,micra,1.2 tekna,2005,benzin,duz,1240 cc,80 hp,195.000 km,belirtilmemis,takasa uygun,galeriden,79.500 TL
nissan,primera,2.0 se,1998,lpg & benzin,duz,1998 cc,130 hp,240.000 km,11 boyali,takasa uygun,sahibinden,52.500 TL
nissan,sunny,1.6 ex,1991,lpg & benzin,duz,1597 cc,90 hp,300 km,11 boyali,takasa uygun degil,sahibinden,43.500 TL
nissan,primera,1.6 slx,1997,benzin,duz,1597 cc,102 hp,223.000 km,belirtilmemis,takasa uygun degil,sahibinden,70.000 TL
nissan,primera,1.6 gx,1997,lpg & benzin,duz,1597 cc,100 hp,240.000 km,belirtilmemis,takasa uygun,sahibinden,63.000 TL
nissan,micra,1.0 ig-t tekna,2021,benzin,yari otomatik,1200 cm3' e kadar,76 - 100 hp,7 km,belirtilmemis,takasa uygun,galeriden,294.900 TL
nissan,micra,1.2 tekna,2006,benzin,otomatik,1240 cc,80 hp,95.000 km,belirtilmemis,takasa uygun,galeriden,119.000 TL
nissan,note,1.4 visia,2006,benzin,duz,1386 cc,88 hp,48.000 km,belirtilmemis,takasa uygun degil,galeriden,99.750 TL
nissan,primera,1.6 visia,2005,lpg & benzin,duz,1596 cc,109 hp,315.000 km,belirtilmemis,takasa uygun degil,sahibinden,71.500 TL
nissan,almera,1.5 luxury,2001,lpg & benzin,duz,1497 cc,90 hp,305.000 km,"2 degisen, 5 boyali",takasa uygun degil,sahibinden,55.000 TL
nissan,primera,1.6 slx,1997,lpg & benzin,duz,1597 cc,100 hp,258.000 km,belirtilmemis,takasa uygun,sahibinden,54.000 TL
nissan,micra,1.2 match,2017,benzin,yari otomatik,1200 cm3' e kadar,76 - 100 hp,21.000 km,belirtilmemis,takasa uygun,galeriden,213.500 TL
nissan,note,1.6 tekna,2007,lpg & benzin,otomatik,1598 cc,110 hp,130.000 km,belirtilmemis,takasa uygun degil,sahibinden,130.000 TL
nissan,primera,2.0 se,1998,lpg & benzin,duz,1998 cc,130 hp,283.000 km,belirtilmemis,takasa uygun degil,sahibinden,65.000 TL
nissan,micra,1.2 passion,2006,benzin,duz,1240 cc,80 hp,226.000 km,4 boyali,takasa uygun,sahibinden,77.000 TL
nissan,almera,1.5 tekna,2006,lpg & benzin,duz,1498 cc,98 hp,238.000 km,tamami orjinal,takasa uygun degil,galeriden,79.500 TL
nissan,primera,2.0 se,1997,lpg & benzin,otomatik,1801 - 2000 cm3,126 - 150 hp,110.000 km,2 boyali,takasa uygun degil,sahibinden,88.000 TL
nissan,micra,1.2 street,2015,benzin,duz,1198 cc,80 hp,77.000 km,1 boyali,takasa uygun degil,sahibinden,133.000 TL
nissan,primera,1.6 special edition,1999,lpg & benzin,duz,1597 cc,100 hp,278.000 km,belirtilmemis,takasa uygun degil,sahibinden,65.500 TL
nissan,micra,1.5 dci visia,2011,dizel,duz,,,164.000 km,tamami orjinal,takasa uygun degil,sahibinden,180.000 TL
nissan,micra,1.2 street,2015,benzin,yari otomatik,1200 cm3' e kadar,76 - 100 hp,38.413 km,belirtilmemis,takasa uygun degil,yetkili bayiden,169.000 TL
nissan,micra,1.2 match,2015,benzin,yari otomatik,1200 cm3' e kadar,76 - 100 hp,40.000 km,belirtilmemis,takasa uygun,galeriden,182.500 TL
