marka,seri,model,yil,yakit tipi,vites tipi,motor hacmi,motor gucu,kilometre,boya-degisen,takasa uygun,kimden,fiyat,url
nissan,almera,1.5 tekna,2007,benzin,duz,1498 cc,98 hp,97.000 km,1 degisen,takasa uygun degil,galeriden,115.000 TL,https://www.arabam.comhttps://www.arabam.com/ilan/galeriden-satilik-nissan-almera-1-5-tekna/galeriden-nissan-almera-1-5-tekna-2007-model-istanbul/17270410
nissan,pulsar,1.2 visia,2017,benzin,yari otomatik,1200 cm3' e kadar,101 - 125 hp,53.000 km,belirtilmemis,takasa uygun,galeriden,199.000 TL,https://www.arabam.comhttps://www.arabam.com/ilan/galeriden-satilik-nissan-pulsar-1-2-visia/boyasiz-degisensiz-tramersiz-otomatik-vit-pulsar-1-2-dig-t/18622138
nissan,micra,1.2 match,2016,benzin,yari otomatik,1200 cm3' e kadar,76 - 100 hp,68.000 km,belirtilmemis,takasa uygun,galeriden,183.000 TL,https://www.arabam.comhttps://www.arabam.com/ilan/galeriden-satilik-nissan-micra-1-2-match/west-ten-micra-match-hatasiz-boyasiz-sensor-celik-jant-kredi/18617768
nissan,primera,1.6 special edition,1999,lpg & benzin,duz,1597 cc,100 hp,285.000 km,1 degisen,takasa uygun,galeriden,71.500 TL,https://www.arabam.comhttps://www.arabam.com/ilan/galeriden-satilik-nissan-primera-1-6-special-edition/galeriden-nissan-primera-1-6-special-edition-1999-model-denizli/18551740
nissan,micra,1.2 tekna,2005,lpg & benzin,duz,1240 cc,80 hp,170.500 km,tamami boyali,takasa uygun,galeriden,82.500 TL,https://www.arabam.comhttps://www.arabam.com/ilan/galeriden-satilik-nissan-micra-1-2-tekna/yildirim-motors-nissan-micra-1-2-tekna-2005-model-170-000-km/18485116
nissan,micra,1.3 gx,1998,lpg & benzin,yari otomatik,1201 - 1400 cm3,51 - 75 hp,170.450 km,belirtilmemis,takasa uygun,galeriden,55.000 TL,https://www.arabam.comhttps://www.arabam.com/ilan/galeriden-satilik-nissan-micra-1-3-gx/ozpam-2-el-den-1998-nissan-micra-1-3-gx-n-cvt-benzin-lpg/18544392
nissan,micra,1.2 tekna,2008,benzin,otomatik,1240 cc,80 hp,65.000 km,belirtilmemis,takasa uygun degil,galeriden,118.000 TL,https://www.arabam.comhttps://www.arabam.com/ilan/galeriden-satilik-nissan-micra-1-2-tekna/gold-auto-a-s-stoklarimizda-98-adet-otomatik-nissan-micralar-mevcuttur/15347585
nissan,micra,1.2 tekna,2009,benzin,otomatik,1240 cc,80 hp,55.000 km,belirtilmemis,takasa uygun degil,galeriden,120.000 TL,https://www.arabam.comhttps://www.arabam.com/ilan/galeriden-satilik-nissan-micra-1-2-tekna/gold-auto-a-s-stoklarimizda-98-adet-otomatik-nissan-micra-mevcuttur/14297459
nissan,micra,1.2 street,2017,benzin,otomatik,1198 cc,80 hp,40.000 km,belirtilmemis,takasa uygun degil,sahibinden,175.000 TL,https://www.arabam.comhttps://www.arabam.com/ilan/sahibinden-satilik-nissan-micra-1-2-street/sahibinden-nissan-micra-1-2-street-2017-model/18140969
nissan,micra,1.2 match,2017,benzin,otomatik,1198 cc,80 hp,39.000 km,tamami orjinal,takasa uygun degil,galeriden,186.000 TL,https://www.arabam.comhttps://www.arabam.com/ilan/galeriden-satilik-nissan-micra-1-2-match/hz-motors-2017-micra-otomatik-hatasiz-boyasiz/18634461
